Exact_name,Market_cap,Short_name,Today_rank,Today_rate
Putincoin,6420899,PUT,565,0.020307
Bunnycoin,6600425,BUN,563,0.000064
Dynamic,7156600,DYN,554,3.79
Terracoin,7092556,TRC,557,0.320676
Magi,6689760,XMG,560,0.863219
Zero,7232841,ZER,552,2.96
Trustplus,7098293,TRUST,556,0.221223
Noblecoin,7494165,NOBL,550,0.003229
Creativecoin,7690713,CREA,549,0.581600
Zeitcoin,7139541,ZEIT,555,0.000193
Vtorrent,8323405,VTR,541,0.769548
1337,8462263,,537,0.000340
Startcoin,8847764,START,533,0.196269
Pure,8203661,PURE,543,2.61
Sexcoin,8378070,SXC,540,0.066568
Hollywoodcoin,8487849,HWC,536,8.92
Dnotes,8870819,NOTE,532,0.067626
Europecoin,8697157,ERC,534,0.870752
Vivo,8944383,VIVO,531,7.92
Exclusivecoin,9095268,EXCL,527,2.05
2Give,9020498,GIVE,529,0.017368
Toacoin,9036137,TOA,528,0.006788
Magnet,9198397,MAG,525,0.769994
Interstellar Holdings,10073805,HOLD,516,0.089375
Chips,9677675,CHIPS,518,0.468879
Blockpool,9353268,BPL,522,0.419544
Breakout Stake,9724115,BRX,517,1.55
Rupee,9403513,RUP,520,0.410339
Chaincoin,9355992,CHC,521,0.642738
Riecoin,10178585,RIC,514,0.248391
Kore,10557408,KORE,508,5.22
Ufo Coin,10666373,UFO,505,0.003006
Bela,10347818,BELA,512,0.260868
Nubits,10467051,USNBT,509,0.990546
Goldcoin,10723777,GLD,503,0.262920
Factom,388836968,FCT,70,44.46
Nxt,321758900,NXT,82,0.322081
Zclassic,454899964,ZCL,63,143.50
Monacoin,351385980,MONA,78,6.17
Smartcash,411007457,SMART,69,0.651735
Syscoin,334471720,SYS,80,0.630494
Cryptonex,370477008,CNX,73,8.22
Digibyte,536440507,DGB,55,0.055031
Nexus,344963061,NXS,79,6.25
Raiblocks,1723166876,XRB,22,12.93
Byteball Bytes,510341609,GBYTE,57,790.96
Bitcoin Gold,3097221629,BTG,16,184.52
Qtum,2992928388,QTUM,18,40.54
Steem,1617145328,STEEM,24,6.53
Monero,4852143045,XMR,13,310.15
Lisk,2561731997,LSK,20,21.83
Dash,6208723237,DASH,12,792.00
Stellar,10947878183,XLM,6,0.612709
Vechain,3218031314,VEN,15,7.07
Ethereum Classic,2889462962,ETC,19,29.08
Nem,8397152999,XEM,10,0.933017
Neo,8896095000,NEO,8,136.86
Iota,6560664303,MIOTA,11,2.36
Cardano,16404653852,ADA,5,0.632723
Litecoin,9746027761,LTC,7,177.47
Ethereum,101455677387,ETH,2,1043.74
Ripple,50634384003,XRP,3,1.31
Bitcoin Cash,27463157641,BCH,4,1622.03
Experience Points,307412748,XP,85,0.001450
Gxshares,321639600,GXS,82,5.36
Reddcoin,301984963,RDD,86,0.010510
Bitcore,271496093,BTX,92,24.92
Particl,228487486,PART,105,34.22
Skycoin,211550061,SKY,111,29.07
Gamecredits,238587171,GAME,102,3.71
Vertcoin,198675952,VTC,114,4.66
Emercoin,216802160,EMC,107,5.26
Neblio,266846149,NEBL,94,20.92
Bitcoindark,199634441,BTCD,113,154.89
Paccoin,173841691,PAC,123,0.000068
Zcoin,294867220,XZC,89,74.52
Digitalnote,199551183,XDN,116,0.028943
Achain,194857200,ACT,118,0.649524
Ubiq,184211503,UBQ,121,4.68
Bridgecoin,176313240,BCO,122,6.53
Blocknet,166021571,BLOCK,132,33.30
Counterparty,151647055,XCP,138,57.94
Nav Coin,171608194,NAV,126,2.75
Xtrabytes,136233030,XBY,147,0.316821
Asch,124424159,XAS,151,1.35
Bitconnect,97886608,BCC,180,10.66
Bitbay,127267076,BAY,153,0.126090
Zencash,115510424,ZEN,167,37.57
Peercoin,121444329,PPC,161,4.94
Htmlcoin,134227694,HTML,150,0.002678
Electra,98564193,ECA,179,0.004361
Dimecoin,60226271,DIME,239,0.000112
Gulden,103277753,NLG,176,0.264167
Einsteinium,135209839,EMC,150,0.624916
Viacoin,92243397,VIA,187,4.02
Metaverse Etp,97138398,ETP,181,2.62
Lbry Credits,90800731,LBC,188,0.629017
Hempcoin,90202472,THC,191,0.391370
Ecc,82921000,ECC,197,0.003317
Rise,85153653,RISE,195,0.752645
Decent,90386963,DCT,191,1.76
Ion,71878191,ION,210,3.73
Cloakcoin,80840389,CLOAK,202,16.00
Aeon,70663570,AEON,214,4.59
Burst,83734525,BURST,196,0.046510
Minexcoin,70308600,MNX,216,23.44
I/O Coin,66875191,IOC,228,4.05
Groestlcoin,69175134,GRS,219,0.998328
Spectrecoin,67423240,XSPEC,224,3.24
Pura,62183253,PURA,237,0.360376
Shift,66690179,SHIFT,226,5.72
Lykke,68878703,LKK,221,0.256796
Salus,66393393,SLS,225,65.75
Voxels,59831940,VOX,241,0.284914
Crown,61770752,CRW,239,3.66
Namecoin,58147624,NMC,245,3.95
Mooncoin,57646634,MOON,246,0.000258
Steem Dollars,49540188,SBD,263,7.02
Potcoin,51311887,POT,262,0.234034
Flash,48132450,FLASH,265,0.053481
Feathercoin,55053745,FTC,252,0.290464
Diamond,47242748,DMD,268,18.04
Vericoin,47286942,VRC,267,1.54
Sibcoin,44798511,SIB,272,2.76
Whitecoin,42266541,XWC,284,0.169973
Deeponion,44488386,ONION,275,9.19
Elastic,43679362,XEL,278,0.488633
Shield,44240135,XSH,275,0.091846
Faircoin,42559746,FAIR,283,0.800088
Pascal Coin,41674618,PASC,288,2.41
Nolimitcoin,37654517,NLC,295,0.183464
Gridcoin,37763227,GRC,294,0.096751
Solarcoin,42369839,SLR,282,1.09
Blackcoin,39392883,BLK,291,0.514078
Expanse,36655952,EXP,300,4.64
Radium,34816181,RADS,307,10.13
Phore,35250131,PHR,306,4.24
Posw Coin,36476698,POSW,306,0.827136
Golos,32644122,GOLOS,314,0.262162
Neoscoin,31400926,NEOS,320,8.56
Omni,30404334,OMNI,326,54.25
Okcash,32554769,OK,314,0.441860
Myriad,29391852,XMY,329,0.018996
Monetaryunit,31180041,MUE,320,0.253186
Colossuscoinxt,30636610,COLX,323,0.007608
Rubycoin,29371612,RBY,330,1.16
Atbcoin,30394794,ATB,327,0.748678
Dubaicoin,27185751,DBIX,342,14.07
Neutron,28493459,NTRN,334,0.849253
Bismuth,26270251,BIS,345,3.62
Boolberry,28149253,BBR,335,2.56
Pandacoin,30416242,PND,325,0.000935
Newyorkcoin,27894041,NYC,336,0.000211
Leocoin,27494449,LEO,339,0.283538
Bean Cash,27772842,BITB,338,0.011915
E-Coin,25029671,ECN,356,5.02
Bitsend,26177477,BSD,346,1.46
Gambit,25583714,GAM,350,21.31
Zoin,25150845,ZOI,353,1.55
Luxcoin,25914173,LUX,348,27.73
Hush,24595937,HUSH,360,8.04
Unobtanium,26330810,UNO,344,132.90
Linda,24754242,LINDA,358,0.004123
Florincoin,23341566,FLO,370,0.164965
Lomocoin,23337673,LMC,371,0.103869
Mintcoin,24906447,MINT,358,0.000998
Clams,24046435,CLAM,362,8.48
Asiacoin,21835542,AC,380,0.017158
Energycoin,23161526,ENRG,371,0.190506
Vsync,20690819,VSX,388,0.127593
Obsidian,20028300,ODN,396,0.801132
Musicoin,20703246,MUSIC,387,0.037304
Oxycoin,20433710,OXY,391,0.214791
Primecoin,21329768,XPM,382,0.959227
Monoeci,20336117,XMCC,391,6.87
Pirl,20118018,PIRL,394,2.32
Solaris,19330987,XLR,407,20.24
Russian Miner Coin,19803487,RMC,400,13141.00
Global Currency Reserve,19456376,GCR,406,0.187713
Universal Currency,19813631,UNIT,401,1.55
Sequence,19521208,SEQ,404,0.430604
Heat,20037622,HEAT,395,0.629586
Stealthcoin,18601542,XST,416,0.665722
Sumokoin,18676077,SUMO,414,6.61
Gobyte,20949221,GBX,385,35.39
Sphere,18421216,SPHR,419,5.98
Pinkcoin,17995630,PINK,424,0.047226
Fedoracoin,18567595,TIPS,414,0.000042
Curecoin,17007122,CURE,434,0.713418
Audiocoin,17380532,ADC,431,0.020531
Polis,18840453,POLIS,413,31.38
Espers,18595101,ESP,416,0.000885
Internet Of People,17063906,IOP,432,5.18
Alqo,16997788,ALQO,434,2.21
Artbyte,18128418,ABY,421,0.022874
Syndicate,16030895,SYNX,440,0.908717
Atmos,16078309,ATMS,439,0.160176
Earthcoin,15914473,EAC,441,0.001361
Spreadcoin,16515020,SPR,436,1.74
Kilocoin,20024160,KLC,397,0.102009
E-Dinar Coin,15613283,EDR,445,0.017618
Regalcoin,15496017,REC,450,1.21
Geocoin,15531979,GEO,449,4.57
Firstcoin,14720998,FRST,458,7.87
Russiacoin,15753585,RC,443,1.88
Dopecoin,15621740,DOPE,445,0.133696
Bulwark,15575026,BWK,447,7.19
Crowdcoin,15389974,CRC,451,18.43
Vcash,14481012,XVC,461,0.941351
Sprouts,16484324,SPRTS,438,0.000007
Bitmark,14114813,BTM,463,1.78
Bitcloud,12711319,BTDX,476,0.708565
Social Send,14747625,SEND,457,0.464588
Bitdeal,13824713,BDL,467,0.078736
Procurrency,14017209,PROC,463,0.145009
Cannabiscoin,14850860,CANN,459,0.192291
Memetic / Pepecoin,13458237,MEME,470,0.704957
Hyperstake,12950901,HYP,472,0.011580
Trezarcoin,13461711,TZC,469,0.152226
Auroracoin,12901753,AUR,472,1.49
Buzzcoin,12349410,BUZZ,478,0.000722
Transfercoin,12813775,TX,475,2.03
The Champcoin,12359633,TCC,477,0.074941
Blitzcash,11859779,BLITZ,484,2.88
Veriumreserve,11344854,VRM,492,7.72
Pesetacoin,11476377,PTC,490,0.086648
Innova,11911037,INN,483,7.55
Prizm,11590384,PZM,487,0.861154
Xgox,10535488,XGOX,509,0.008593
Breakout,12860868,BRK,474,0.708897
Dotcoin,10805899,DOT,496,0.038754
Bitcoinz,11304248,BTCZ,493,0.011457
Synergy,10856763,SNRG,494,3.22
Novacoin,10753263,NVC,499,5.47
Bitzeny,10108222,ZNY,515,0.133681
Intensecoin,10512327,ITNS,506,0.030650
Bitcoin Plus,10687690,XBC,500,101.72
Masternodecoin,10659858,MTNC,502,0.225043
Smileycoin,6027451,SMLY,573,0.000232
Insanecoin,2441195,INSN,671,0.132781
