Currency,Exact Name
ADA,
BCH,
BTC,Bitcoin
BTG,bitcoin gold
DASH,Dash
ETC,
ETH, Ethereum
LTC,Litecoin
NEO,Neo
NXT,
OMG,
XRP,
XVG,
XMR,
ZEC,
