"","#","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d"
"133",133,"NAV
                        NAV Coin","NAV","$160,494,770","$2.57","62,349,374
                        
                        
                            *","$3,115,340","1.78%","-6.23%","-18.70%"
"134",134,"ANT
                        Aragon","ANT","$160,188,260","$6.01","26,670,440
                        
                        
                            *","$4,301,130","3.60%","10.89%","17.75%"
"135",135,"OST
                        Simple Token","OST","$159,209,998","$0.618811","257,283,724
                        
                        
                            *","$21,820,400","2.31%","-7.87%","-0.48%"
"136",136,"AMB
                        Ambrosus","AMB","$158,116,015","$1.09","144,590,975
                        
                        
                            *","$24,212,200","-3.65%","14.96%","37.60%"
"137",137,"THETA
                        Theta Token","THETA","$155,332,709","$0.276240","562,310,706
                        
                        
                            *","$31,567,100","2.71%","20.69%","65.54%"
"138",138,"MCO
                        Monaco","MCO","$154,456,461","$11.71","13,195,542
                        
                        
                            *","$10,761,000","2.16%","-1.33%","-3.91%"
"139",139,"RCN
                        Ripio Credit ...","RCN","$150,352,908","$0.306822","490,033,009
                        
                        
                            *","$24,484,200","0.13%","-4.89%","3.29%"
"140",140,"AST
                        AirSwap","AST","$147,097,950","$0.980653","150,000,000
                        
                        
                            *","$6,577,630","2.41%","-0.16%","-5.41%"
"141",141,"DTR
                        Dynamic Tradi...","DTR","$146,445,784","$0.146524","999,466,187
                        
                        
                            *","$110,713","-0.42%","-8.62%","-20.26%"
"142",142,"TEL
                        Telcoin","TEL","$146,122,090","$0.006968","20,970,629,778
                        
                        
                            *","$5,091,450","3.98%","18.97%","-6.43%"
"143",143,"MANA
                        Decentraland","MANA","$143,077,493","$0.136129","1,051,043,445
                        
                        
                            *","$33,094,400","1.73%","-2.84%","-2.25%"
"144",144,"DBC
                        DeepBrain Chain","DBC","$143,043,300","$0.158937","900,000,000
                        
                        
                            *","$7,699,450","1.31%","-7.29%","-4.55%"
"145",145,"COB
                        Cobinhood","COB","$138,377,549","$0.392922","352,175,619
                        
                        
                            *","$2,168,320","12.67%","-13.01%","-44.04%"
"146",146,"HTML
                        HTMLCOIN","HTML","$137,741,118","$0.002740","50,277,086,933","$647,783","1.85%","-0.19%","-5.82%"
"147",147,"INS
                        INS Ecosystem","INS","$134,397,304","$4.83","27,822,188
                        
                        
                            *","$5,622,710","2.05%","-1.52%","-12.02%"
"148",148,"HPB
                        High Performa...","HPB","$134,160,938","$6.04","22,216,600
                        
                        
                            *","$5,379,160","3.31%","1.99%","-25.87%"
"149",149,"APPC
                        AppCoins","APPC","$131,791,540","$1.32","100,054,312
                        
                        
                            *","$8,170,750","1.48%","-4.38%","-14.64%"
"150",150,"EMC2
                        Einsteinium","EMC2","$130,611,149","$0.603647","216,370,078","$8,620,580","2.01%","-4.00%","-8.40%"
"151",151,"XAS
                        Asch","XAS","$130,016,381","$1.41","92,199,083","$1,870,500","2.53%","-0.71%","55.55%"
"152",152,"XCP
                        Counterparty","XCP","$129,112,174","$49.33","2,617,353
                        
                        
                            *","$3,125,910","4.43%","-14.91%","-15.29%"
"153",153,"R
                        Revain","R","$128,292,537","$0.695541","184,450,000
                        
                        
                            *","$1,729,770","0.23%","-10.64%","-15.03%"
"154",154,"ZEN
                        ZenCash","ZEN","$126,630,237","$41.09","3,081,650","$2,283,450","-1.05%","8.76%","-3.20%"
"155",155,"UKG
                        Unikoin Gold","UKG","$125,556,773","$0.934506","134,356,304
                        
                        
                            *","$18,683,100","2.63%","4.19%","8.64%"
"156",156,"XBY
                        XTRABYTES","XBY","$125,212,560","$0.291192","430,000,000
                        
                        
                            *","$326,195","-0.52%","-8.43%","-26.35%"
"157",157,"WABI
                        WaBi","WABI","$123,780,519","$2.74","45,248,033
                        
                        
                            *","$4,087,630","3.66%","0.22%","-7.91%"
"158",158,"PPC
                        Peercoin","PPC","$123,171,041","$5.01","24,591,861","$1,041,010","1.27%","1.26%","-11.78%"
"159",159,"BIX
                        Bibox Token","BIX","$122,061,981","$1.16","105,253,066
                        
                        
                            *","$30,987,000","1.17%","-5.73%","-30.31%"
"160",160,"SNM
                        SONM","SNM","$120,589,702","$0.335344","359,600,000
                        
                        
                            *","$3,264,460","2.67%","-3.30%","-7.81%"
"161",161,"BAY
                        BitBay","BAY","$119,988,754","$0.118876","1,009,360,626
                        
                        
                            *","$2,145,700","0.39%","-7.23%","-13.97%"
"162",162,"MDS
                        MediShares","MDS","$119,801,929","$0.248288","482,511,957
                        
                        
                            *","$33,786,400","0.89%","5.95%","73.43%"
"163",163,"INT
                        Internet Node...","INT","$116,074,350","$0.773829","150,000,000
                        
                        
                            *","$23,800,300","3.96%","16.14%","19.41%"
"164",164,"AGRS
                        Agoras Tokens","AGRS","$114,890,580","$2.74","42,000,000
                        
                        
                            *","$1,090,990","-0.50%","1.85%","21.33%"
"165",165,"EDG
                        Edgeless","EDG","$114,711,360","$1.40","82,046,276
                        
                        
                            *","$4,016,290","2.60%","-7.19%","-31.74%"
"166",166,"SPANK
                        SpankChain","SPANK","$114,278,425","$0.380873","300,043,386
                        
                        
                            *","$632,064","1.78%","-9.72%","-10.89%"
"167",167,"MOD
                        Modum","MOD","$113,212,994","$6.20","18,266,200
                        
                        
                            *","$4,048,130","0.58%","-8.27%","-0.41%"
"168",168,"ADX
                        AdEx","ADX","$112,656,517","$1.87","60,248,315
                        
                        
                            *","$16,576,300","2.64%","-6.95%","-15.56%"
