"","Symbol","Price","rank","Market Cap"
"1","BTC",9939.59,1,167355858707
"2","ETH",1092.32,2,106311805877
"3","XRP",1.11,3,43083350286
"4","BCH",1468.33,4,24876244965
"5","ADA",0.49768,5,12903384465
"7","NEO",140.11,7,9107410000
"8","LTC",158.64,8,8726346432
"12","DASH",680.49,12,5342668388
"13","XMR",271.6,13,4255380196
"19","ETC",27.31,19,2717807168
"24","OMG",14.72,24,1501709213
"26","ZEC",385.01,26,1223344534
"32","XVG",0.06632,32,964175764
"81","NXT",0.280668,81,280387316
